corpus	number	canonical	canonical_url	title	status	type	category	created	requires	words	sha256	tags	file
EIP	1	yes	https://eips.ethereum.org/EIPS/eip-1	EIP Purpose and Guidelines	Living	Meta		2015-10-27		4472	c29f9c2c5685c16e9709c64583dcb56d6f76c077995860f708b6e12c6afa0a7f	account-wallet,uri-web-content,read-proof-history,app-package-runtime,privacy,cross-chain,token-payment,security-supply-chain	eip-1.md
EIP	2	yes	https://eips.ethereum.org/EIPS/eip-2	Homestead Hard-fork Changes	Final	Standards Track	Core	2015-11-15		881	283af272148eb597d931cb58bd3a64e8573c781f90448ff38a7eeea4ef2c9a26	account-wallet,uri-web-content,read-proof-history,app-package-runtime,token-payment,security-supply-chain	eip-2.md
EIP	3	yes	https://eips.ethereum.org/EIPS/eip-3	Addition of CALLDEPTH opcode	Withdrawn	Standards Track	Core	2015-11-19		392	6c5fa2dd2a5a204109beb8f65b5d55234047dc71ee4c3de1c73aefdaa78196e8	uri-web-content,identity-principal,security-supply-chain	eip-3.md
EIP	4	yes	https://eips.ethereum.org/EIPS/eip-4	EIP Classification	Final	Meta		2015-11-17		448	ba269118af7d91fa85ef81c155614a067a93fcfaad0292ff61383de1f3031025	uri-web-content,read-proof-history,app-package-runtime,cross-chain	eip-4.md
EIP	5	yes	https://eips.ethereum.org/EIPS/eip-5	Gas Usage for `RETURN` and `CALL*`	Final	Standards Track	Core	2015-11-22		985	82174f6bbc86adf630bbb7174086df69c6108ace135563b94b945e7942b6e856	uri-web-content,app-package-runtime,offline-storage	eip-5.md
EIP	6	yes	https://eips.ethereum.org/EIPS/eip-6	Renaming SUICIDE opcode	Final	Standards Track	Interface	2015-11-22		265	4b415d03226756c99a8808d6d23982459cbbc6c96b8eb79b0323634f79bbb963	uri-web-content,read-proof-history,identity-principal,security-supply-chain	eip-6.md
EIP	7	yes	https://eips.ethereum.org/EIPS/eip-7	DELEGATECALL	Final	Standards Track	Core	2015-11-15		452	39de6a4c1ab7726d5095c9dd53841e607089e83cd24054388cd0d5aaa9be889f		eip-7.md
EIP	8	yes	https://eips.ethereum.org/EIPS/eip-8	devp2p Forward Compatibility Requirements for Homestead	Final	Standards Track	Networking	2015-12-18		1632	162f265343eca0a4a965b541504ecdd61a59558bd7fe7cffd08e45895a3b1227	account-wallet,uri-web-content,read-proof-history,app-package-runtime,identity-principal,privacy,token-payment	eip-8.md
EIP	20	no-moved-stub	https://eips.ethereum.org/EIPS/eip-20		Moved		ERC			14	f1f3a493a9d704d10ddc3f780669addd8ac68d6ebd191ee705b7d34789243d1f	uri-web-content,read-proof-history	eip-20.md
EIP	55	no-moved-stub	https://eips.ethereum.org/EIPS/eip-55		Moved		ERC			14	6db2c6b09ba2ceaca7665eb681ac99c9b8c30e060a9e04c6ec63983bb9756178	uri-web-content,read-proof-history	eip-55.md
EIP	67	no-moved-stub	https://eips.ethereum.org/EIPS/eip-67		Moved		ERC			14	8d4122dca8b658e6077684b64c302e999d22627afdc2da46e35c3458ae941d75	uri-web-content,read-proof-history	eip-67.md
EIP	86	yes	https://eips.ethereum.org/EIPS/eip-86	Abstraction of transaction origin and signature	Stagnant	Standards Track	Core	2017-02-10		1271	dd4f5777c3cc02596e02dc196e5e78b15474f33cc671def3dd2cfc4b5bc8421b	account-wallet,app-package-runtime,privacy,token-payment,security-supply-chain,offline-storage	eip-86.md
EIP	100	yes	https://eips.ethereum.org/EIPS/eip-100	Change difficulty adjustment to target mean block time including uncles	Final	Standards Track	Core	2016-04-28		307	304cec4fa8f7ca1c44ea285626363f581cb50444f44fc061afd43d91edc7e3c9	uri-web-content	eip-100.md
EIP	101	yes	https://eips.ethereum.org/EIPS/eip-101	Serenity Currency and Crypto Abstraction	Stagnant	Standards Track	Core	2015-11-15		862	992af43df86e9f58d0ef3c690c5f27ffaa72351569223be36e402f3fd6c669a6	account-wallet,uri-web-content,read-proof-history,token-payment,offline-storage	eip-101.md
EIP	107	yes	https://eips.ethereum.org/EIPS/eip-107	safe "eth_sendTransaction" authorization via html popup	Stagnant	Standards Track	Interface	2016-06-05		2710	0d635da4c8f17aa9284489bdaa2745d08332caa5426f66a794e11ebe15fad38c	account-wallet,uri-web-content,read-proof-history,app-package-runtime,identity-principal,token-payment,security-supply-chain,human-interface	eip-107.md
EIP	137	no-moved-stub	https://eips.ethereum.org/EIPS/eip-137		Moved		ERC			14	85afc6d0ae621fd607f38ed9231c6611a64dbb2b83d2778046e4d9904f12b349	uri-web-content,read-proof-history	eip-137.md
EIP	140	yes	https://eips.ethereum.org/EIPS/eip-140	REVERT instruction	Final	Standards Track	Core	2017-02-06		503	8d8259af8d26b91ae9aca1e5156f30b3d3f09a6f215c758ee23f883a1203cc87	offline-storage	eip-140.md
EIP	141	yes	https://eips.ethereum.org/EIPS/eip-141	Designated invalid EVM instruction	Final	Standards Track	Core	2017-02-09		97	f30c1c0b351ba8831ff743ed88ae86685a499893b12dd6a0ebb09158e45ecdb5		eip-141.md
EIP	145	yes	https://eips.ethereum.org/EIPS/eip-145	Bitwise shifting instructions in EVM	Final	Standards Track	Core	2017-02-13		930	0f0e109dbaaaaec10198d8e4f76a2d885e7b9c53f2ff96d4f1477c772c219da8	account-wallet,uri-web-content,app-package-runtime	eip-145.md
