catalog	id	relationship	url	title	editor_status	proposal_stage	published_status	published_date	published_url	standing	organization	browser_target	series	repository	tests	tags	review_state	source	row_sha256
TC39-ECMA-402	datetimeformat-datestyle-timestyle-babf92f9	supplement	https://github.com/tc39/proposal-intl-datetime-style	DateTimeFormat dateStyle & timeStyle	NOT_APPLICABLE	Finished/standardized	NOT_APPLICABLE	NOT_APPLICABLE	NOT_APPLICABLE	good	Ecma International	language		https://github.com/tc39/proposal-intl-datetime-style			CATALOG_INGESTED	ecma402/finished-proposals.md	2c57f5ed4fd41499e8d3c1947984884bbe376013f8d04fcee816733a2994cf5b
TC39-ECMA-402	extend-timezonename-option-proposal-bdfe785d	supplement	https://github.com/tc39/proposal-intl-extend-timezonename	Extend TimeZoneName Option Proposal	NOT_APPLICABLE	Finished/standardized	NOT_APPLICABLE	NOT_APPLICABLE	NOT_APPLICABLE	good	Ecma International	language		https://github.com/tc39/proposal-intl-extend-timezonename			CATALOG_INGESTED	ecma402/finished-proposals.md	e069c85cb8b9b56df7ffeae6859bc9654d07a42f8fdd55eae307a2712521eee0
TC39-ECMA-402	intl-dateformat-prototype-formatrange-883964a4	supplement	https://github.com/tc39/proposal-intl-DateTimeFormat-formatRange	Intl.DateFormat.prototype.formatRange	NOT_APPLICABLE	Finished/standardized	NOT_APPLICABLE	NOT_APPLICABLE	NOT_APPLICABLE	good	Ecma International	language		https://github.com/tc39/proposal-intl-DateTimeFormat-formatRange		accessibility-i18n	CATALOG_INGESTED	ecma402/finished-proposals.md	89aee9e667e33c19fe6bb882044bbd22c4992238a4074b467faaf04db1b89fa0
TC39-ECMA-402	intl-displaynames-ec5fd313	supplement	https://github.com/tc39/proposal-intl-displaynames	Intl.DisplayNames	NOT_APPLICABLE	Finished/standardized	NOT_APPLICABLE	NOT_APPLICABLE	NOT_APPLICABLE	good	Ecma International	language		https://github.com/tc39/proposal-intl-displaynames		accessibility-i18n	CATALOG_INGESTED	ecma402/finished-proposals.md	7460548185655265036ef8783a428291b399fe8510838ef3220e48233c3b8def
TC39-ECMA-402	intl-displaynames-v2-f82e4b7d	supplement	https://github.com/tc39/proposal-intl-displaynames-v2	Intl.DisplayNames v2	NOT_APPLICABLE	Finished/standardized	NOT_APPLICABLE	NOT_APPLICABLE	NOT_APPLICABLE	good	Ecma International	language		https://github.com/tc39/proposal-intl-displaynames-v2		accessibility-i18n	CATALOG_INGESTED	ecma402/finished-proposals.md	cbf351ed4a1c7d901c19b4624c58560b759e2eaef01c92ad3073e08b63274844
TC39-ECMA-402	intl-durationformat-8123a610	supplement	https://github.com/tc39/proposal-intl-duration-format	Intl.DurationFormat	NOT_APPLICABLE	Finished/standardized	NOT_APPLICABLE	NOT_APPLICABLE	NOT_APPLICABLE	good	Ecma International	language		https://github.com/tc39/proposal-intl-duration-format		accessibility-i18n	CATALOG_INGESTED	ecma402/finished-proposals.md	66cb37ea282c62bd03a65dc4ac5f68a14fa66b959c147df565048c83e399285d
TC39-ECMA-402	intl-enumeration-api-1546eba0	supplement	https://github.com/tc39/proposal-intl-enumeration	Intl Enumeration API	NOT_APPLICABLE	Finished/standardized	NOT_APPLICABLE	NOT_APPLICABLE	NOT_APPLICABLE	good	Ecma International	language		https://github.com/tc39/proposal-intl-enumeration		accessibility-i18n	CATALOG_INGESTED	ecma402/finished-proposals.md	721d9b0ff3f0159b345d52ec9c2a75ae9d332ad819488758ed2d23702a08dd67
TC39-ECMA-402	intl-era-and-monthcode-proposal-640dd461	supplement	https://github.com/tc39/proposal-intl-era-monthcode	Intl Era and MonthCode Proposal	NOT_APPLICABLE	Finished/standardized	NOT_APPLICABLE	NOT_APPLICABLE	NOT_APPLICABLE	good	Ecma International	language		https://github.com/tc39/proposal-intl-era-monthcode		accessibility-i18n	CATALOG_INGESTED	ecma402/finished-proposals.md	873a34b4db696deae5693b9c3b91a5707e08f403f052314eeba72805a00d98be
TC39-ECMA-402	intl-listformat-9fe3e2ef	supplement	https://github.com/tc39/proposal-intl-list-format	Intl.ListFormat	NOT_APPLICABLE	Finished/standardized	NOT_APPLICABLE	NOT_APPLICABLE	NOT_APPLICABLE	good	Ecma International	language		https://github.com/tc39/proposal-intl-list-format		accessibility-i18n	CATALOG_INGESTED	ecma402/finished-proposals.md	ee9acf7f9e6a94ec8b445c9466166c1c0f4ff36a7bc9afa073353d017bbbe641
TC39-ECMA-402	intl-locale-7fd46bde	supplement	https://github.com/tc39/proposal-intl-locale	Intl.Locale	NOT_APPLICABLE	Finished/standardized	NOT_APPLICABLE	NOT_APPLICABLE	NOT_APPLICABLE	good	Ecma International	language		https://github.com/tc39/proposal-intl-locale		accessibility-i18n	CATALOG_INGESTED	ecma402/finished-proposals.md	e55cb2dacff962215ceaacb3e6e8c8c0e21bc72e2f606d7566a4bd0dc081fb4d
